iter	Passed	Remaining
0	2	211
1	4	216
2	6	202
3	7	181
4	9	177
5	10	170
6	12	166
7	14	167
8	16	168
9	18	165
10	20	162
11	21	157
12	22	152
13	24	148
14	26	148
15	28	147
16	30	146
17	31	145
18	33	143
19	35	140
20	36	138
21	39	141
22	42	141
23	44	139
24	45	137
25	47	136
26	49	134
27	51	132
28	53	130
29	55	128
30	56	126
31	58	124
32	60	123
33	62	120
34	64	120
35	66	118
36	68	116
37	69	113
38	71	111
39	73	109
40	76	109
41	76	106
42	78	103
43	80	101
44	81	100
45	83	98
46	85	96
47	87	95
48	89	93
49	90	90
50	92	88
51	94	86
52	96	85
53	98	83
54	99	81
55	100	79
56	102	77
57	103	75
58	106	74
59	108	72
60	110	70
61	112	68
62	114	66
63	115	65
64	117	63
65	119	61
66	121	59
67	122	57
68	124	55
69	125	53
70	127	51
71	128	50
72	131	48
73	132	46
74	135	45
75	136	43
76	137	41
77	139	39
78	142	37
79	143	35
80	146	34
81	147	32
82	149	30
83	151	28
84	152	26
85	154	25
86	156	23
87	158	21
88	160	19
89	161	17
90	163	16
91	165	14
92	166	12
93	169	10
94	170	8
95	172	7
96	173	5
97	174	3
98	176	1
99	178	0
